dates,number_of_marriage
2019-12-08,21
2021-09-11,19
2021-01-22,16
2020-11-30,10
2022-12-24,25
2021-09-22,9
2022-01-22,17
2018-04-24,12
2018-06-15,15
2022-03-08,12
2018-09-14,14
2023-04-09,15
2020-03-05,16
2021-03-27,15
2023-08-02,18
2023-12-07,15
2020-07-07,11
2019-05-24,27
2019-07-18,14
2020-11-17,15
2018-05-29,22
2021-07-23,13
2019-12-25,18
2018-11-08,11
2021-04-14,9
2020-03-19,17
2018-12-31,18
2021-07-01,12
2019-01-04,13
2022-12-19,6
2018-04-06,14
2023-08-31,11
2019-07-24,14
2020-06-19,16
2021-10-22,14
2022-04-16,12
2019-01-03,10
2022-12-21,15
2021-10-08,17
2021-11-22,14
2018-11-16,18
2023-03-30,14
2020-07-27,17
2022-06-09,18
2023-12-26,12
2019-12-16,14
2023-01-06,9
2020-02-09,13
2018-01-03,17
2021-05-16,10
2018-06-14,11
2019-06-24,19
2023-04-29,8
2023-01-28,14
2023-04-10,13
2023-11-03,19
2022-11-22,15
2021-05-12,15
2021-04-02,12
2023-10-16,15
2023-02-03,14
2020-08-21,15
2023-10-18,22
2020-02-25,17
2018-11-01,16
2018-10-18,18
2023-08-05,15
2018-07-05,14
2022-11-05,21
2021-12-02,7
2018-05-05,15
2020-10-27,18
2020-08-25,19
2023-04-03,19
2020-02-27,16
2023-07-27,14
2021-08-16,14
2021-07-27,7
2021-02-15,13
2020-07-29,11
2018-01-12,18
2023-01-06,14
2022-05-17,15
2022-03-08,15
2022-09-01,11
2018-10-12,21
2019-12-28,19
2020-04-20,12
2020-08-21,17
2018-07-13,13
2020-02-14,10
2019-12-30,19
2018-04-18,18
2019-06-26,16
2023-08-07,14
2019-11-21,18
2022-07-17,19
2022-09-29,14
2021-09-18,11
2021-04-05,13
