dates,number_of_marriage
2021-10-22,13
2019-07-22,22
2021-09-20,17
2019-01-29,22
2022-08-20,14
2023-06-06,16
2019-08-22,12
2019-09-15,14
2023-05-28,18
2021-02-09,10
2021-04-02,8
2019-07-24,13
2020-11-20,15
2022-08-27,15
2022-07-30,20
2019-04-12,9
2022-01-22,16
2019-05-03,18
2020-01-16,13
2022-07-28,18
2019-01-25,15
2021-08-11,13
2022-03-15,19
2021-06-06,15
2018-02-01,12
2022-09-11,24
2019-09-10,12
2022-05-29,23
2022-09-13,15
2023-03-18,7
2021-05-30,19
2018-10-18,16
2018-05-31,12
2021-04-23,22
2021-02-12,12
2021-03-24,18
2019-06-21,16
2020-07-06,17
2019-02-03,14
2023-11-23,23
2023-03-09,16
2019-03-18,17
2022-10-23,16
2019-07-27,14
2021-05-01,11
2023-12-24,24
2019-07-03,17
2019-12-13,16
2019-09-20,14
2021-02-12,13
2020-10-27,13
2018-09-06,14
2018-07-28,12
2020-05-07,21
2020-03-30,18
2021-06-29,22
2018-04-10,12
2023-10-18,15
2023-02-26,14
2023-07-14,11
2018-01-16,12
2019-01-07,19
2019-03-06,13
2021-10-26,16
2021-01-30,15
2022-01-07,17
2023-10-17,14
2022-08-22,13
2021-07-02,20
2023-12-09,14
2021-04-04,13
2023-11-25,11
2019-08-09,12
2022-09-23,13
2019-03-15,16
2023-01-30,17
2023-08-19,13
2021-07-16,15
2018-09-29,18
2023-10-03,17
2019-02-04,9
2022-09-30,18
2021-09-16,20
2018-01-12,20
2018-03-10,9
2021-09-14,16
2019-12-05,15
2022-06-22,23
2022-10-18,16
2020-10-04,10
2018-03-06,13
2019-05-17,11
2022-01-09,16
2018-08-14,21
2020-07-06,16
2018-12-07,16
2022-07-12,8
2022-07-01,15
2023-09-28,15
2019-03-07,14
